"n","dd","d","all","ratio","date","pv1","pv2","ratio_rm","all_rm","n_rm","d_rm"
1.0471,1.0343,1.0097,1.0268,1.8085,2016-09-15,0.0031806428374747,0.996819357162525,1.64435,1.02849473684211,1.04502105263158,1.015475
1.0273,1.0467,1.0144,1.0225,1.2532,2016-09-16,0.000559235775126627,0.999440764224873,1.6381975,1.028535,1.044995,1.014115
1.0373,1.032,1.0137,1.0251,1.4695,2016-09-17,0.000305058563765728,0.999694941436234,1.6039375,1.028405,1.043945,1.014735
1.0295,1.0018,1.0045,1.0147,1.6091,2016-09-18,0.000205323348801403,0.999794676651199,1.5846425,1.029955,1.04505,1.01638
1.0573,1.0263,1.0013,1.0265,2.4747,2016-09-19,3.2435480471685e-05,0.999967564519528,1.5514675,1.0325,1.047255,1.01884
1.0316,1.0494,1.0172,1.0259,1.2693,2016-09-20,1.08770328190697e-05,0.999989122967181,1.5600775,1.03432,1.05003,1.01992
1.0474,1.0518,1.0227,1.0356,1.4162,2016-09-21,1.17173251442664e-05,0.999988282674856,1.5398475,1.03653,1.05198,1.022065
1.024,1.0232,1.0323,1.0279,0.88015,2016-09-22,1.33330828541968e-05,0.999986666917146,1.5273625,1.03828,1.053635,1.02373
1.0592,1.0639,1.015,1.0372,1.8564,2016-09-23,1.23243387308275e-05,0.999987675661269,1.5202025,1.04088,1.056565,1.02592
1.0527,1.0408,1.0184,1.0348,1.6236,2016-09-24,3.0922449451021e-06,0.999996907755055,1.5378825,1.044745,1.06121,1.02875
1.0566,1.0269,1.0221,1.0369,1.5892,2016-09-25,1.39790705088717e-06,0.999998602092949,1.5044025,1.04791,1.06369,1.032285
1.0445,1.0268,1.0167,1.0293,1.5213,2016-09-26,6.09925676233339e-07,0.999999390074324,1.4922375,1.05084,1.06643,1.03561
1.0615,1.0722,1.0322,1.0477,1.4259,2016-09-27,8.56473184405222e-07,0.999999143526816,1.4700525,1.05241,1.067255,1.0375
1.0733,1.1025,1.0489,1.0641,1.2853,2016-09-28,1.93392085898986e-06,0.999998066079141,1.4743925,1.05612,1.071805,1.040075
1.0939,1.1004,1.0534,1.0748,1.4502,2016-09-29,3.88520279244947e-06,0.999996114797208,1.395372,1.058335,1.072075,1.04373
